transaction_id,date,product,category,quantity,unit_price,revenue,region
TXN-0001,2025-11-24,Smart Watch,Electronics,8,115.49,923.92,
TXN-0002,02/17/2025,Wool Sweater,Clothing,20,18.14,362.8,South
TXN-0003,01/04/2025,Dark Chocolate,Food & Beverage,11,142.55,1568.05,South
TXN-0004,06-11-2025,Bluetooth Speaker,Electronics,18,66.79,1202.22,West
TXN-0005,2025-04-09,USB-C Hub,Electronics,10,492.68,4926.8,
TXN-0006,09-07-2025,Cotton T-Shirt,Clothing,3,306.52,919.56,South
TXN-0007,12/19/2025,Green Tea Set,Food & Beverage,2,118.38,236.76,North
TXN-0008,06/11/2025,Dark Chocolate,Food & Beverage,13,442.92,5757.96,
TXN-0009,27/10/2025,Data Science Guide,Books,12,113.56,1362.72,South
TXN-0010,15/12/2025,Python Cookbook,Books,13,193.9,2520.7,West
TXN-0010,15/12/2025,Python Cookbook,Books,13,193.9,2520.7,West
TXN-0011,16-12-2025,Green Tea Set,Food & Beverage,4,150.28,601.12,South
TXN-0012,2025-04-02,Green Tea Set,Food & Beverage,17,306.44,5209.48,South
TXN-0013,03-11-2025,Yoga Mat,Sports,4,464.9,1859.6,
TXN-0014,2025-09-06,Design Patterns,Books,5,331.58,1657.9,Central
TXN-0015,12/20/2025,Green Tea Set,Food & Beverage,13,497.6,6468.8,
TXN-0016,01/11/2025,Design Patterns,Books,1,40.14,40.14,
TXN-0017,23/05/2025,Wool Sweater,Clothing,5,363.06,1815.3,Central
TXN-0018,04/12/2025,Kitchen Scale,Home & Garden,14,236.18,3306.52,
TXN-0019,02/25/2025,Winter Jacket,Clothing,18,227.06,4087.08,West
TXN-0020,2025-10-09,Laptop Stand,Electronics,1,484.65,484.65,
TXN-0021,01/31/2025,Yoga Mat,Sports,13,136.28,1771.64,
TXN-0022,05/12/2025,Winter Jacket,Clothing,10,112.76,1127.6,North
TXN-0023,09/15/2025,Laptop Stand,Electronics,3,426.41,1279.23,North
TXN-0024,2025-05-07,Python Cookbook,Books,14,330.4,4625.6,Central
TXN-0025,07/22/2025,Green Tea Set,Food & Beverage,15,,2422.65,
TXN-0026,10/03/2025,AI Fundamentals,Books,5,466.96,2334.8,North
TXN-0027,2025-11-10,Trail Mix,Food & Beverage,10,466.22,4662.2,North
TXN-0028,20-05-2025,Design Patterns,Books,11,105.78,1163.58,
TXN-0029,21/11/2025,LED Desk Lamp,Home & Garden,1,170.11,170.11,South
TXN-0030,2025-01-05,USB-C Hub,Electronics,18,22.83,410.94,East
